,Date,Portfolio_Value,Capital,Position_Value,Shares,Peak,Drawdown,Daily_Return
0,2022-10-27,20000.0,20000.0,0.0,0,20000.0,0.0,
1,2022-10-28,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
2,2022-10-31,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
3,2022-11-01,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
4,2022-11-02,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
5,2022-11-03,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
6,2022-11-04,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
7,2022-11-07,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
8,2022-11-08,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
9,2022-11-09,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
10,2022-11-10,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
11,2022-11-11,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
12,2022-11-14,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
13,2022-11-15,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
14,2022-11-16,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
15,2022-11-17,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
16,2022-11-18,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
17,2022-11-21,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
18,2022-11-22,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
19,2022-11-23,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
20,2022-11-24,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
21,2022-11-25,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
22,2022-11-28,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
23,2022-11-29,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
24,2022-11-30,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
25,2022-12-01,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
26,2022-12-02,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
27,2022-12-05,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
28,2022-12-06,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
29,2022-12-07,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
30,2022-12-08,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
31,2022-12-09,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
32,2022-12-12,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
33,2022-12-13,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
34,2022-12-14,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
35,2022-12-15,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
36,2022-12-16,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
37,2022-12-19,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
38,2022-12-20,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
39,2022-12-21,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
40,2022-12-22,20000.0,20000.0,0.0,0,20000.0,0.0,0.0
